Pertanyaan;Coarse;Fine
Siapa nama depan Viking Prince;HUM;individual
Siapa nama kapten Titanic;HUM;individual
Siapa nama kedua Mao;HUM;individual
Siapa nama pengacara Randy Craft;HUM;individual
Siapa nama pengacara Randy Steven Craft;HUM;individual
Siapa nama pengacara yang mewakili Randy Craft;HUM;individual
Siapa nama putra aktor Rex Harrison;HUM;individual
Siapa nama putra angkat Popeye;HUM;individual
Siapa nama samaran yang digunakan William dalam menulis Gift;HUM;individual
Siapa nama saudara Alvin;HUM;individual
Siapa nama sebenarnya;HUM;individual
Siapa orang pertama yang dimasukkan Hall of Fame Renang AS.;HUM;individual
Siapa orang pertama yang kembali ke luar angkasa;HUM;individual
Siapa orang terkaya di dunia;HUM;individual
Siapa pemain basket yang dikreditkan dengan 23;HUM;individual
Siapa pemain bisbol apa dikenal sebagai Charley Hustle;HUM;individual
Siapa pemain bisbol liga utama yang sekarang menjadi juru bicara;HUM;individual
Siapa pemain bisbol yang paling sering berjalan;HUM;individual
Siapa pemain golf yang disebut Lemak dan Blobbo Ohio;HUM;individual
Siapa pemain hoki yang bercanda dengan Ronald tentang kesuksesan;HUM;individual
Siapa pemain NBA mana yang memiliki nomor punggung 3;HUM;individual
Siapa pemain tenis yang memiliki nama panggilan Nasty;HUM;individual
Siapa pembuat beruang spesial yang lahir pada 18 Januari;HUM;individual
Siapa pemburu rusa yang menikahi saudara Annie;HUM;individual
Siapa pemenang Nobel yang diusir dari Filipina sebelum konferensi dimulai;HUM;individual
Siapa pemenang Oscar 1974;HUM;individual
Siapa pemilik CNN;HUM;individual
Siapa pemimpin India;HUM;individual
Siapa pemimpin Italia yang memiliki ketakutan super;HUM;individual
Siapa pemimpin kekaisaran Bizantium;HUM;individual
Siapa pemimpin spiritual Asia yang menikah pada usia 13;HUM;individual
Siapa pencipta The Muppets;HUM;individual
Siapa pendiri dan editor The National Review;HUM;individual
Siapa perdana menteri Tiongkok;HUM;individual
Siapa perenang tercepat di dunia;HUM;individual
Siapa Presiden Afghanistan pada tahun 1994;HUM;individual
Siapa Presiden AS pertama;HUM;individual
Siapa raja dari Inggris;HUM;individual
Siapa raja pertama Inggris;HUM;individual
Siapa superstar yang menyewa mobil;HUM;individual
Siapa sutradara dan editor film Big yang dibintangi Tom Hanks;HUM;individual
Siapa wanita parfum Charlie;HUM;individual
Siapa wanita pertama di luar angkasa;HUM;individual
Siapa yang ada dalam buku komik yang sekarang sudah terkenal;HUM;individual
Siapa yang berbagi apartemen di New York dengan Roger;HUM;individual
Siapa yang berhasil Sonny ganti sebagai juara tinju kelas dunia;HUM;individual
Siapa yang beriklan untuk Frito-Lay;HUM;individual
Siapa yang ditempatkan di Camp Swampy di komik;HUM;individual
Siapa yang dituduh dalam The Trial of the Century;HUM;individual
Siapa yang memerankan Etta Place;HUM;individual
Siapa yang memerankan Fatman di acara televisi;HUM;individual
Siapa yang memiliki CNN;HUM;individual
Siapa yang memiliki hak atas program TV;HUM;individual
Siapa yang menemukan radio;HUM;individual
Siapa yang menemukan Riasan;HUM;individual
Siapa yang menemukan sikat gigi;HUM;individual
Siapa yang menemukan stetoskop;HUM;individual
Siapa yang menemukan televisi;HUM;individual
Siapa yang menulis buku it;HUM;individual
Siapa yang menulis 'Dubliners';HUM;individual
Siapa yang menulis Dunia Baru yang Berani;HUM;individual
Siapa yang menulis Hamlet;HUM;individual
Siapa yang menyutradarai The Wild Bunch;HUM;individual
Siapa yang merancang Jembatan London;HUM;individual
Siapakah Musuh Publik No. 1 Amerika yang pertama;HUM;individual
Siapakah musuh utama Sherlock Holmes;HUM;individual
Siapakah nabi agama Islam;HUM;individual
Siapakah Nabi Madinah;HUM;individual
Siapakah nabi umat Islam;HUM;individual
Siapakah nabi yang paling terhubung dengan Laut Mati;HUM;individual
Siapakah pemimpin Brunei;HUM;individual
Siapakah perdana menteri Australia;HUM;individual
Siapakah perdana menteri Jepang;HUM;individual
Siapakah perdana menteri ke-43 Malaysia;HUM;individual
Siapakah Presiden Amerika Serikat ke-16;HUM;individual
Siapakah presiden Bolivia;HUM;individual
Siapakah Presiden Ghana;HUM;individual
Siapakah Presiden Kosta Rika pada tahun 1994;HUM;individual
Siapakah Presiden Pergament;HUM;individual
Siapakah presiden Vichy Prancis;HUM;individual
Siapakah Raja di rumah Alley Oop di Moo;HUM;individual
Siapakah raja yang dipaksa untuk menyetujui Magna Carta;HUM;individual
Siapakah Ratu Belanda;HUM;individual
Siapakah saudara laki-laki Olive Oyl;HUM;individual
Siapakah Sekretaris Negara selama pemerintahan Nixon;HUM;individual
Siapakah sepuluh orang terkaya di dunia;HUM;individual
Siapakah suami dan mentor dari jutawan Pia Zadora;HUM;individual
Untuk siapa Blok Tujuh Keledai diblokir;HUM;individual
Untuk siapa Camp David dinamai;HUM;individual
Untuk siapa Dita Beard bekerja;HUM;individual
Video siapa yang berjudul Shape Up with Arnold;HUM;individual
siapa yang mengantikan rasulullah menjadi pemimpin setelah wafat;HUM;individual
apa profesi arman maulana;HUM;title
apa profesi raffi ahmad;HUM;title
apa profesi jordan;HUM;title
apa pekerjaan maki adi;HUM;title
apa pekerjaan ayah nya;HUM;title
apa pekerjaan yang digeluti ibu nya;HUM;title
apa profesi profesor rudi;HUM;title
apakah profesi bapak moko;HUM;title
apakah pekerjaan bapak andi;HUM;title
apa profesi yang digeluti pandji;HUM;title
apakah profesi tertua di dunia ini;HUM;title
Apa pekerjaan Nicholas Cage?;HUM;title
Apa pekerjaannya;HUM;title
Apa pekerjaan Eduard Shevardnadze di Uni Soviet;HUM;title
Apa pekerjaan Larry King;HUM;title
apakah profesinya;HUM;title
apa profesi ibu nya;HUM;title
apa gelar ayahnya;HUM;title
apa gelar ibumu;HUM;title
gelar apa yang diberikan untuk orang yang menyelesaikan s3;HUM;title
apa pekerjaan sehari hari rudi;HUM;title
apa kota terbesar di indonesia;LOC;city
apa kota terbesar di amerika;LOC;city
kota apa yang terbesar di mesir;LOC;city
kota apa yang tertua di dunia;LOC;city
apa nama kota yang paling tua di dunia;LOC;city
apa nama kota yang menjadi tujuan favorit wisatawan di jepang;LOC;city
kota apa yang menjadi destinasi favorit turis di indonesia;LOC;city
apa kota yang sangat digemari turis mancanegara di malaysia;LOC;city
kota apa di jepang yang memiliki awalan huruf k pada namanya;LOC;city
apa ibukota arab saudi;LOC;city
apa ibukota thailand;LOC;city
apa nama ibukota provinsi sulawesi selatan;LOC;city
apa nama ibukota prancis;LOC;city
apa nama ibukota taiwan;LOC;city
apa nama ibukota italia;LOC;city
apa ibukota cina;LOC;city
apa ibukota laos;LOC;city
di kota apa menara eifel berada;LOC;city
di kota apa patung liberty berada;LOC;city
di kota apa monas itu;LOC;city
di kota apakah bandara juanda berada;LOC;city
di kota apa stadion stanford bridge berada;LOC;city
apa nama kota yang memiliki julukan kota kenangan;LOC;city
kota apa yang diberi julukan kota senja;LOC;city
kota apa yang sering disebut kota ikan;LOC;city
kota apa yang dikunjungi presiden susilo pada bulan mei 2012;LOC;city
apa nama kota yang dikunjungi obama di indonesia;LOC;city
apa nama kota yang menjadi tempat rapat pbb;LOC;city
apa kota terbesar di rusia;LOC;city
di kota apakah habibie dilahirkan;LOC;city
kota apa yang paling bersalju di korea selatan;LOC;city
apa nama kota yang menjadi latar film itu;LOC;city
kota apa yang diperangi pasukan muhammad al fatih;LOC;city
monas ada di kota apa;LOC;city
kota apa yang dikenal karena gudegnya;LOC;city
kota apa yang dikenal karena kepadatan penduduknya;LOC;city
kota apa yang memiliki populasi paling sedikit di jerman;LOC;city
di kota apa gayus ditangkap;LOC;city
di kota apa kasus perampokan bank abc terjadi;LOC;city
kota apa yang menjadi lumbung padi terbesar di asia;LOC;city
apa negara terkecil di afrika;LOC;country
apa negara terkecil di asia;LOC;country
apa negara terbesar di eropa;LOC;country
apa negara terkaya di dunia;LOC;country
apa negara termakmur di dunia;LOC;country
apa negara yang memiliki populasi penduduk terbanyak di dunia;LOC;country
sebutkan negara dengan populasi terkecil di amerika;LOC;country
sebutkan negara dengan utang luar negeri terbanyak di dunia;LOC;country
negara apa yang mengimpor garam paling banyak di dunia;LOC;country
negara apa yang mengekspor minyak terbesar di dunia;LOC;country
di negara manakah sungai nil berada;LOC;country
di negara mana kota suci makkah berada;LOC;country
di negara apakah gareth bale bermain;LOC;country
di negara apa cristiano ronaldo bermain sepakbola;LOC;country
di negara apa standford university berada;LOC;country
negara apa yang memiliki tingkat kecerdasan siswa tertinggi;LOC;country
negara apa yang memiliki tingkat kemiskinan terbesar;LOC;country
negara apa yang dipimpin pm mahatir;LOC;country
negara apa yang menyelenggarakan liga primer;LOC;country
di negara apa danau toba itu;LOC;country
negara apa yang pernah dikuasai hitler;LOC;country
negara apa saja yang pernah dijajah oleh inggris;LOC;country
di negara apa presiden indonesia dan jepang bertemu;LOC;country
negara apa yang menjadi destinasi favorit wisatawan tahun 2018;LOC;country
negara apa yang paling dikunjungi turis mancanegara tahun 2010;LOC;country
di negara manakah lionel messi lahir;LOC;country
sebutkan negara pengimpor tembakau terbesar di eropa;LOC;country
sebutkan negara yang memiliki rasio kemiskinan terbesar di asia;LOC;country
negara apa yang dikenal dengan julukan negara seribu pulau;LOC;country
negara apa yang dijuluki negeri salju;LOC;country
negara apa yang menjadi latar film abc;LOC;country
negara apa yang memiliki pulau paling banyak di dunia;LOC;country
negara apakah yang membeli 25 persen total ekspor teh dunia;LOC;country
di negara manakah kurma tumbuh;LOC;country
di negara apakah air zam zam dihasilkan;LOC;country
negara penghasil karet terbesar di dunia adalah;LOC;country
negara penghasil batik di dunia yaitu;LOC;country
di negara apakah menara kembar berada;LOC;country
negara apa yang memiliki area hutan terbesar;LOC;country
negara apa yang memiliki angkatan bersenjata terkuat di dunia;LOC;country
provinsi apa di jepang yang mimiliki populasi terpadat;LOC;state
provinsi apa di indonesia yang memproduksi kain terbanyak;LOC;state
provinsi apa yang menjadi lumbung padi di indonesia;LOC;state
negara bagian apa yang menjadikan bunga sagebrush bunga negaranya;LOC;state
negara bagian as apa yang memiliki garis pantai terpanjang kedua;LOC;state
negara bagian as apa yang memiliki rambut pirang terbanyak;LOC;state
negara bagian apa yang memiliki curah hujan paling sedikit;LOC;state
provinsi apa yang paling dingin di korea selatan;LOC;state
di provinsi apakah makassar berada;LOC;state
di provinsi apakah surabaya itu;LOC;state
di provinsi apa semarang berada;LOC;state
provinsi apa yang dipimpin oleh anies baswedan;LOC;state
celebes adalah sebutan untuk provinsi apa;LOC;state
provinsi apa yang memiliki jumlah penduduk terbanyak di indonesia;LOC;state
provinsi dengan populasi penduduk terbanyak ke dua di indonesia adalah;LOC;state
gunung apa yang sangat terkenal di jepang;LOC;mountain
gunung apa yang tertinggi di dunia;LOC;mountain
gunung terbesar di dunia adalah;LOC;mountain
gunung apa yang menjadi tujuan para pendaki di pulau jawa;LOC;mountain
gunung apa yang merupakan tempat pengambilan gambar film Berkelana;LOC;mountain
apa gunung apa teraktif di dunia;LOC;mountain
apa gunung yang paling banyak di daki di pulau jawa;LOC;mountain
apa gunung yang sangat ikonik di jepang;LOC;mountain
apa gunung yang menjadi ikon jepang;LOC;mountain
gunung apa yang letusannya menggemparkan dunia;LOC;mountain
gunung apa yang paling tinggi di dunia;LOC;mountain
Gunung apa yang terletak di antara sungai Arkansas dan Missouri;LOC;mountain
Pegunungan apa yang dilalui oleh jalur kereta api tertinggi di dunia;LOC;mountain
Pegunungan apa yang membentang dari Teluk Lawrence ke Alabama;LOC;mountain
Pegunungan apa yang menandai perbatasan Prancis dan Spanyol;LOC;mountain
Apa gunung tertinggi di bumi sebelum Gunung Everest ditemukan;LOC;mountain
Apa gunung tertinggi kedua di dunia;LOC;mountain
Apa gunung tertinggi New England;LOC;mountain
Apa gunung tertinggi di asia;LOC;mountain
Apa nama gunung tertinggi di Afrika;LOC;mountain
Apa nama gunung tertinggi di dunia;LOC;mountain
Apa puncak gunung tertinggi kedua di dunia;LOC;mountain
Apa puncak tertinggi di Afrika;LOC;mountain
Apa puncak tertinggi dunia;LOC;mountain
Apa empat jajaran gunung terbesar di benua Asia;LOC;mountain
apa puncak tertinggi di pulau sulawesi;LOC;mountain
Apa 5 gedung tertinggi di dunia;LOC;locother
Apa air terjun tertinggi di Amerika Serikat;LOC;locother
Apa bintang yang paling terang terlihat dari Bumi;LOC;locother
Apa area terdalam dari Samudra Arktik;LOC;locother
Apa alamat Answers.com;LOC;locother
Apa alamat bintang terkenal Meksiko;LOC;locother
Apa alamat email Bill Gross;LOC;locother
Apa alamat email Drew Barrymore;LOC;locother
Apa alamat email George Lucas;LOC;locother
Apa alamat email Mark McGwire;LOC;locother
Apa alamat E-mail milik Bill Gates Microsoft;LOC;locother
Apa alamat kantor pemerintah utama di Roma;LOC;locother
Apa bangunan tertinggi di Jepang;LOC;locother
Apa bangunan tertua di Amerika Serikat;LOC;locother
Apa bandara India terbesar;LOC;locother
Apa danau terbesar di Amerika Utara;LOC;locother
Apa dinding terkenal yang menopang menara Badaling;LOC;locother
Apa dua sungai terpanjang di Inggris;LOC;locother
Apa situs web Pengadilan Internasional;LOC;locother
Apa laut yang terbesar di dunia;LOC;locother
Apa laut yang memisahkan Napoli dan Aljir;LOC;locother
Apa lautnya Bombay;LOC;locother
Apa museum etnologi tertua di dunia;LOC;locother
Apa museum terbesar di dunia;LOC;locother
Apa nama benua yang muncul di sudut kiri atas label Budweiser;LOC;locother
Apa nama candi yang terletak di dekat ibu kota Laos;LOC;locother
Apa nama hotel di Jakarta;LOC;locother
Apa nama jalan paling umum di Amerika;LOC;locother
Selat apa yang menghubungkan Laut Mediterania dan Samudra Atlantik;LOC;locother
Apa pulau terbesar di Hindia Barat;LOC;locother
Apa pulau terbesar di Indonesia;LOC;locother
Apa sungai terpanjang di Kanada;LOC;locother
Bangunan apa yang dibangun abad 18 berisi rak buku 327 mil;LOC;locother
Dimanakah Guam;LOC;locother
Bangunan apa yang dimahkotai raja-raja Inggris;LOC;locother
Dari mana asal embun;LOC;locother
Dari mana asal marmut;LOC;locother
Dari mana asal makeup;LOC;locother
Dari mana asal nama Daniel;LOC;locother
Dari mana asal ukulele;LOC;locother
Dari mana asalnya olahraga berselancar;LOC;locother
Dari mana bentuk aneh dari pisau makan ikan berasal;LOC;locother
Dari mana bintang tenis Stefan Edberg berasal;LOC;locother
Dari mana bocci berasal;LOC;locother
Dari mana cokelat berasal;LOC;locother
Daerah mana yang menghasilkan kopi paling asam?;LOC;locother
Danau apa di Skotlandia yang dikatakan memiliki monster;LOC;locother
Danau apa itu tempat Sheboygan?;LOC;locother
Danau apa yang menjadi sumber Nil Putih?;LOC;locother
Dari mana dia mendapatkan gelar itu?;LOC;locother
Di mana Olimpiade Musim Panas 196 diadakan;LOC;locother
Di mana kartu itu;LOC;locother
Di mana 8 dari 10 gunung tertinggi di dunia;LOC;locother
Di mana ayahnya berada;LOC;locother
Di mana ada informasi tentang novel laskar pelangi;LOC;locother
Di mana ada penduduk asli dayak;LOC;locother
Di manakah lubang ke-19 di lapangan golf;LOC;locother
Di mana aktris itu;LOC;locother
Di mana Anda dapat menemukan penangkap lalat Venus;LOC;locother
Di mana Anda menemukan informasi tentang Kebijakan Nasional;LOC;locother
Di mana Anda menemukan jawaban untuk semua pertanyaan ini;LOC;locother
Di mana apartemen di Saint John;LOC;locother
Di mana AS mendapatkan sebagian besar energinya;LOC;locother
Di mana Bandara Logan berada;LOC;locother
Di mana Bandara McCarren berada;LOC;locother
Di mana Bandara McCarren;LOC;locother
Di mana batu Ayer?;LOC;locother
Di mana sumber pendidikan yang bagus untuk guru;LOC;locother
Dimanakah bel terbesar dunia berada;LOC;locother
Dimanakah Belize berada;LOC;locother
Dimanakah bendungan terbesar di dunia;LOC;locother
Dimanakah kantor pusat AS untuk Procter & Gamble;LOC;locother
Dimanakah kantor pusat perusahaan Microsoft berada;LOC;locother
Dimanakah saya dapat menemukan sejarah bahasa Hongaria;LOC;locother
Dimanakah saya dapat menemukan sejarah bahasa Taiwan;LOC;locother
Dimana teleskop Keck;LOC;locother
Dimana tempat kelahiran Poe;LOC;locother
Dimana Tesla lahir;LOC;locother
Dimana Tornado Alley;LOC;locother
Dimana Tufts University;LOC;locother
Dimana Ty Cobb tumbuh;LOC;locother
Dimana Union Stockyards;LOC;locother
Dimana Victor Hugo menghabiskan pengasingannya;LOC;locother
Dimana Standford University;LOC;locother
Dimana Wile E. Coyote selalu mendapatkan perangkatnya;LOC;locother
Dimana Windsor Castle;LOC;locother
Dimana Woodstock berlangsung;LOC;locother
Dimana Wright bersaudara melakukan penerbangan pertama mereka;LOC;locother
Dimana zebra paling mungkin ditemukan;LOC;locother
Planet apa yang ditemukan Percival Lovell;LOC;locother
Di pulau Hawaii manakah Pearl Harbor;LOC;locother
Di sungai apa Roma dibangun;LOC;locother
Di sungai apa Strasbourg dibangun;LOC;locother
Di sungai mana Windsor Castle berada;LOC;locother
Dimana Qatar;LOC;locother
Dimana Trinidad;LOC;locother
Dimanakah Amsterdam;LOC;locother
Dari manakah asal makeup;LOC;locother
Dari manakah asal nama Daniel;LOC;locother
Dari manakah asal ukulele;LOC;locother
Samudra apa yang mengelilingi Kepulauan Madeira;LOC;locother
Samudra apa yang mengelilingi Kepulauan Maldive;LOC;locother
Pulau apa yang memiliki taman bernama Battery;LOC;locother
Pulau apa yang mendapat nama mereka dari baja Spanyol;LOC;locother
Pulau apa yang menjadi rumah bagi patung yang disebut Mauis;LOC;locother
Laut apa yang mengelilingi Kepulauan Cayman;LOC;locother
situs web apa yang bisa menemukan artikel yang kita ingin cari;LOC;locother
Sungai apa yang mengalir melewati Kuil Karnak;LOC;locother
Sungai apa yang terkenal mengalir melalui Bagdad;LOC;locother
Taman apa yang memiliki Sungai Firehole dan Air Terjun Peri;LOC;locother
Teluk apa yang berkilau di sebelah Miami;LOC;locother
Kanal apa yang dilintasi oleh Jembatan Thatcher Ferry;LOC;locother
apa kode nomor telefon seluler indonesia;NUM;code
apa kode bandara soekarno hatta;NUM;code
apa kode area sulawesi utara;NUM;code
berapa nomor telefon polisi;NUM;code
berapa kode nomor telefon ambulans;NUM;code
berapa kode universitas indonesia;NUM;code
apa kode yang dikirim anggota pramuka untuk komunikasi jarak jauh;NUM;code
menggunakan kode apakah tentara saat berperang;NUM;code
apa arti kode yyy pada botol minuman;NUM;code
apa arti kode sss pada pakaian pria;NUM;code
apa kode ukuran terbesar dari pakaian;NUM;code
apa makna kode xl pada celana;NUM;code
berapa jumlah kabupaten yang ada di indonesia;NUM;count
berapa jumlah kecamatan di indonesia;NUM;count
berapa gelar juara liga champion yang dimiliki lionel messi;NUM;count
berapa jumlah bulan yang ada dalam satu tahu;NUM;count
berapa jumlah gol pada final piala dunia 2020;NUM;count
berapa jumlah planet yang ada di tata surya ini;NUM;count
berapa jumlah pulau yang ada di indonesia;NUM;count
berapa jumlah poin yang dikumpulkan manchester saat menjuarai liga tahun 2013;NUM;count
berapa jumlah pemain juventus yang positif terjangkit corona;NUM;count
berapa jumlah kalori dalam sebuah telur;NUM;count
berapa jam yang dibutuhkan untuk membaca 1 juz al quran;NUM;count
berapa bulan kehamilan rata rata manusia mengandung;NUM;count
berapa jam yang diperlukan untuk menyelesaikan satu rubik 3x3;NUM;count
berapa hari seekor capung hidup;NUM;count
berapa meter dalam 1 kilometer;NUM;count
berapa jam kerja rata rata pekerja kantoran di dki jakarta;NUM;count
berapa jumlah pembunuhan yang terjadi pada tragedi 98;NUM;count
berapa lama baterai 1000 mah diisi agar penuh;NUM;count
berapa populasi manusia di eropa;NUM;count
berapa populasi manusia di brasil;NUM;count
dalam 1 abad ada berapa tahun;NUM;count
berapa tentara yang tewas dalam perang dunia ii;NUM;count
sudah berapa kali susilo yudhoyono menjadi presiden indonesia;NUM;count
seberapa sering ular berganti kulit;NUM;count
kehamilan manusia normal berlangsung dalam berapa bulan;NUM;count
berapa rata rata tinggi remaja di indonesia;NUM;count
berata tahun lustrum terbentuk;NUM;count
berapa karbohidrat yang terkandung dalam sepiring nasi;NUM;count
berapa hasil dari penjumlahan lima ditambah lima;NUM;count
Ada berapa banyak ekstensi URL;NUM;count
Ada berapa banyak novel James Bond;NUM;count
Ada berapa banyak situs Beanie Baby;NUM;count
Ada berapa banyak unsur kimia di sana;NUM;count
ada berapa negara di asia tenggara;NUM;count
ada berapa negara bagian amerika;NUM;count
ada berapa benua di dunia;NUM;count
ada berapa hari libur nasional tahun 2020;NUM;count
ada berapa jumlah pengunjung wisata waduk bening madiun tahun ini;NUM;count
ada berapa banyak vitamin c dalam tomat;NUM;count
ada berapa banyak kursi yang tersedia di stadion tersebut;NUM;count
ada berapa banyak karakter dalam film itu;NUM;count
ada berapa banyak jenis kayu di dunia;NUM;count
berapa keluarga yang ikut terdampak karena bencana gempa ini;NUM;count
berapa keluarga yang tidak menerima bantuan ;NUM;count
berapa keluarga yang menerima santunan dari bupati;NUM;count
berapa keluarga yang kelaparan karena wabah ini;NUM;count
berapa orang yang terlibat dalam pengambilan gambar video tersebut;NUM;count
berapa orang yang berpartisipasi dalam kajian online ustad Somad;NUM;count
berapa orang ikut berperan ambil bagian pada pembangunan masjid;NUM;count
berapa orang yang ikut dalam aksi damai tadi pagi;NUM;count
berapa orang menunjukkan kegelisahannya atas kejadian tersebut;NUM;count
berapa orang tidak ikut pada acara tadi pagi;NUM;count
berapa orang yang positif terjangkit virus di bandung;NUM;count
berapa orang mendapatkan hasil negatif dari hasil tes tadi;NUM;count
berapa orang menonton pertandingan antara mu dan barcelona;NUM;count
Berapa banyak sekolah penerbangan yang ada di AS;NUM;count
Berapa banyak situs web yang ada di dunia;NUM;count
berapa orang yang menandatangani petisi tersebut;NUM;count
berapa jumlah korban pada kecelakaan di tol sunter tadi malam;NUM;count
berapa jumlah korban jiwa atas banjir bandang di cimahi;NUM;count
berapa jumlah korban karena badai besar kemarin;NUM;count
berapa jumlah korban penipuan dari modus berkedok bantuan;NUM;count
berapa jumlah korban dari kebakaran gedung central;NUM;count
Berapa banyak spesies hiu Great White yang ada;NUM;count
Berapa zat besi dalam tubuh manusia;NUM;count
berapa jumlah restoran yang ada di makassar;NUM;count
berapa jumlah pegawai yang bekerja di ct corp;NUM;count
berapa jumlah santri di al barjah ;NUM;count
berapa jumlah karyawan yang di phk atas bencana ini;NUM;count
berapa jumlah kuda yang ikut dalam balap kuda di sana;NUM;count
berapa hewan yang mati kelaparan di kebun binatang;NUM;count
berapa hewan yang tertangkap oleh pemburu liar;NUM;count
berapa hewan laut yang dipelahara oleh ayahmu;NUM;count
berapa korban yang meninggal dari insiden di hotel itu;NUM;count
berapa korban yang tertipu;NUM;count
berapa korban dari kecelakaan maut itu;NUM;count
berapa korban selamat yang ditemukan dari tenggelamnya perahu;NUM;count
berapa korban penipuan yang terdata di catatan kepolisisan;NUM;count
berapa korban kekerasan yang melapor di mabes polri hari ini;NUM;count
berapa mata yang dimiliki kelelawar;NUM;count
berapa negara anggota pbb;NUM;count
berapa negara yang mengimpor minyak dari mesir;NUM;count
berapa orang yang hadir dipertemuan hotel amaris;NUM;count
Berapa banyak poin yang ada di papan Backgammon;NUM;count
Ada berapa jenis pakaian di sana;NUM;count
Ada berapa kota di Arab Saudi;NUM;count
Ada berapa negara di dunia;NUM;count
Berapa banyak cacing tanah dalam satu padang rumput;NUM;count
Berapa banyak anggota dalam delegasi kongres California;NUM;count
Berapa banyak asam folat yang harus didapatkan wanita hamil setiap hari;NUM;count
Berapa banyak astronot di bulan;NUM;count
berapa banyak kelurahan di makassar;NUM;count
berapa banyak imigran surabaya gagal ke luar negeri karena nonprosedural;NUM;count
berapa banyak sampah yang dihasilkan jakarta setiap hari;NUM;count
berapa banyak pesawat garuda yang terlambat berangkat karena cuaca;NUM;count
Berapa banyak film yang dibuat oleh studio dalam setahun;NUM;count
Berapa banyak film yang pernah diputar Drew Barrymore;NUM;count
Berapa banyak danau di bumi;NUM;count
Berapa banyak gajah yang tersisa di bumi;NUM;count
Berapa banyak kalori dalam tomat;NUM;count
Berapa banyak kalori yang ada dalam kecap;NUM;count
Berapa banyak kalori yang ada dalam segelas air;NUM;count
tanggal berapa nabi Muhammad dilahirkan;NUM;date
bulan ramadhan jatuh pada tanggal berapa;NUM;date
pada tanggal berapa indonesia memproklamasikan kemerdekaan;NUM;date
tanggal berapa presiden soekarno lahir;NUM;date
tanggal berapa hari ibu diperingatkan;NUM;date
tanggal pertama siaran pertama Liputan6;NUM;date
tanggal berapa hari buruh diperingatkan di indonesia;NUM;date
tanggal berapa final liga eropa diadakan tahun ini;NUM;date
pada tanggal berapa dalam november diperingati sebagai hari pahlawan;NUM;date
bulan berapa pada tahun 2018 gempa terjadi di palu;NUM;date
bulan berapa gempa di jogja terjadi;NUM;date
bulan apa jokowi dilantik sebagai presiden indonesia;NUM;date
bulan apa musim kemarau dimulai di indonesia;NUM;date
pada bulan apa musim hujan mulai di indonesia;NUM;date
tahun berapa kapan titanic tenggelam;NUM;date
tahun berapa malaysia memproklamasikan kemerdekaannya;NUM;date
tahun berapa mantan presiden indonesia soeharto wafat;NUM;date
pada tahun berapa terjadi gempa yang sangat besar di lombok;NUM;date
pada tahun berapa ronaldo meninggalkan real madrid;NUM;date
pada tahun berapa barcelona merekrut neymar;NUM;date
tahun berapa barcelona meraih gelar liga champion ke lima;NUM;date
di tahun berapa bom hiroshima nagasaki terjadi;NUM;date
di tahun berapa kekhalifahan turki ustmani runtuh;NUM;date
di tahun berapa atletico madrid merekrut fernando torres;NUM;date
rcti mulai mengudara tahun berapa;NUM;date
kapan sea games diadakan di indonesia;NUM;date
kapan nabi muhammad diangkat sebagai rasul;NUM;date
kapan albert einstein meninggal;NUM;date
kapan gunung krakatau meletus;NUM;date
kapan banjir besar terjadi di bandung;NUM;date
kapan bola lampu pertama kali ditemukan;NUM;date
kapan nabi isa dilahirkan oleh maryam;NUM;date
pada abad berapa tahun pertama hijriah;NUM;date
pada abad berapa perang dunia ii terjadi;NUM;date
pada abad berapa revolusi industri dimulai;NUM;date
pada bulan apa virus covid 19 menyebar di indonesia;NUM;date
pada tahun berapa serial kartun anak nusa rara mulai tayang;NUM;date
tanggal berapa youtube menampilkan video pertama;NUM;date
pada tanggal berapa anda dilahirkan;NUM;date
tanggal berapa bursa transfer liga inggris ditutup;NUM;date
kapan rapat kerja kantor diadakan;NUM;date
kapan pertemuan untuk membahas kesejahteraan umat diadakan;NUM;date
kapan rapat besar ktt asean diadakan;NUM;date
kapan konferensi meja bundar diadakan;NUM;date
kapan piala dunia brasil diadakan;NUM;date
kapan porseni banten diadakan;NUM;date
kapan peringatan hari buruh digelar;NUM;date
kapan acara kompetisi pancing jogja digelar;NUM;date
kapan konferensi teknologi dunia digelar;NUM;date
kapan sidang putusan terdakwa korupsi digelar;NUM;date
Kapan pelindo menggelar acara rapat umum 2012;NUM;date
kapan peringatan hari lahir nabi muhammad tahun ini;NUM;date
kapan united menggelar pertandingan testimoni;NUM;date
kapan chelsea menggelar perayaan juara iga;NUM;date
kapan masjid as sholihin menggelar rapat acara ramadhan;NUM;date
kapan samsung menggelar peluncuran telefon terbarunya;NUM;date
kapan xiaomi mengadakap perkenalan ceo baru mereka;NUM;date
kapan mereka menggelar acara pernikahan;NUM;date
kapan kita mengadakan rapat untuk acara minggu depan;NUM;date
kapan tabligh akbar ustad khalid digelar tahun ini;NUM;date
berapa jarak mekkah ke madinah;NUM;distance
berapa jarak yang ditempuh untuk sampai ke tanah suci;NUM;distance
berapa jauh jarak yang harus ditempuh untuk pergi ke bulan;NUM;distance
berapa jarak pandang di jakarta pagi ini;NUM;distance
berapa jarak antara kota sydney dan melbourne;NUM;distance
berapakah jarak italia dan prancis;NUM;distance
seberapa jauh jarak bumi dan bulan;NUM;distance
